ID,name,postalCode,latitude,longitude,"Buy Online Pick Up In Store","Buy Online Pick Up Curbside","Local Store Delivery",aland,median_household_income,median_household_income_moe,average_household_income,average_household_income_moe,per_capita_income,per_capita_income_moe,percent_of_households_with_incomes_200000_or_more,percent_of_households_with_incomes_200000_or_more_[0],householder_under_25_years,householder_under_25_years_moe,householder_25_to_44_years,householder_25_to_44_years_moe,householder_45_to_64_years,householder_45_to_64_years_moe,householder_65_years_and_over,householder_65_years_and_over_moe,hhi_total,hhi_lt_25k,hhi_25k_to_49k,hhi_50k_to_749k,hhi_75k_to_999k,hhi_100k_to_1490k,hhi_150k_to_1999k,hhi_200k_or_more,race_and_ethnicity_total,race_and_ethnicity_white,race_and_ethnicity_black,race_and_ethnicity_native,race_and_ethnicity_asian,race_and_ethnicity_islander,race_and_ethnicity_other,race_and_ethnicity_two,race_and_ethnicity_hispanic,population_density_sq_mi,age_total,age_female_0_to_9,age_female_10_to_19,age_female_20_to_29,age_female_30_to_39,age_female_40_to_49,age_female_50_to_59,age_female_60_to_69,age_female_70_plus,age_male_0_to_9,age_male_10_to_19,age_male_20_to_29,age_male_30_to_39,age_male_40_to_49,age_male_50_to_59,age_male_60_to_69,age_male_70_plus,median_age,educational_attainment_population_25_years_and_over,educational_attainment_no_diploma,educational_attainment_high_school,educational_attainment_some_college,educational_attainment_bachelors,educational_attainment_graduate,family_households_total,family_poverty_pct,employment_status_civilian_labor_force,unemployment_pct,housing_units,median_value_of_owner_occupied_units,households,hh_families,hh_mc_families,hh_mc_with_own_children_under_18,hh_sp_families,hh_sp_with_own_children_under_18,hh_non_families,SIMULATED_SALES,postalCode,DOMESTICMIG2019,NETMIG2019
Indiana-Merrillville,"Merrillville At Home",46410,41.4957,-87.3509,TRUE,TRUE,FALSE,76397185,57445,4126,67546,3114,28477,1412,0.01,0.01,50625,15535,58254,7075,72639,5024,37261,3205,15477,2854,3637,3597,2278,2319,582,210,37813,13573,16378,110,659,4,96,1266,5727,1281.9,37813,2708,2670,2271,2636,2860,2547,2152,2247,2354,2345,2631,2230,2241,2276,1869,1776,37.8,25424,0.1,0.33,0.33,0.16,0.09,9186,0.1,19805,0.08,16759,135100,15477,9186,5842,2341,3344,1921,6291,7790932,46410,413,673
Massachusetts-Seekonk,"Seekonk At Home",2771,41.796947,-71.327475,TRUE,TRUE,TRUE,47613581,90078,8450,115938,9740,45936,3397,0.13,0.03,-1,-1,96467,25052,109135,9695,48517,9353,6052,694,725,839,1057,1208,775,754,15441,14245,107,0,194,76,31,395,393,839.9,15441,706,1183,626,937,1175,1227,1234,1168,582,982,804,769,1176,1281,844,747,45,11433,0.08,0.21,0.3,0.26,0.15,4674,0.05,8796,0.03,6518,339300,6052,4674,3901,1507,773,361,1378,8494277,2771,30,840
"New York-Rochester","Rochester At Home",14623,43.088994,-77.610786,TRUE,TRUE,FALSE,49430639,51800,4993,61501,3425,23562,1315,0.02,0.01,22339,7659,62726,7400,69306,20208,39319,6330,8670,2011,2216,1625,1225,1145,314,134,25893,17373,2871,132,3512,0,17,552,1436,1356.7,25893,1210,2340,2931,1501,1125,1126,1054,1481,607,3170,3900,1461,969,868,1120,1030,27,13983,0.13,0.23,0.27,0.23,0.15,4248,0.1,13048,0.05,9294,127900,8670,4248,3041,1082,1207,383,4422,6343336,14623,-2918,-2158
Nevada-Henderson,"Henderson At Home",89052,35.99993,-115.11,TRUE,TRUE,TRUE,134590773,85021,4981,120942,6783,49435,2700,0.14,0.02,57278,30928,91809,10529,112484,5668,65071,5152,21981,2279,3890,3466,2833,4167,2225,3121,55096,35791,2700,159,7410,86,198,1842,6910,1060.2,55096,2706,3513,2332,3280,3724,3417,4091,5235,2915,3216,2844,3000,3942,3018,3555,4308,44.9,40751,0.04,0.19,0.34,0.26,0.17,14182,0.04,25042,0.05,24581,410500,21981,14182,11440,4112,2742,1526,7799,10514527,89052,31643,31283
"New Jersey-Cherry Hill","Cherry Hill At Home",8002,39.944529,-75.021585,TRUE,TRUE,TRUE,18634063,82285,5913,107821,10149,42930,3945,0.1,0.02,56333,47012,96453,19890,106172,17862,49726,11625,8956,1411,1333,1343,1115,1870,1031,853,22964,15594,1461,0,2949,0,125,701,2134,3191.8,22964,1145,1465,1042,1935,1451,1463,1686,1868,1148,1296,1400,1670,1523,1436,1203,1233,41.4,16708,0.08,0.21,0.3,0.24,0.17,5750,0.06,13135,0.04,9835,237600,8956,5750,4593,1916,1157,390,3206,8573420,8002,-1610,-1054
Louisiana-Shreveport,"Shreveport At Home",71105,32.44341,-93.732841,TRUE,TRUE,FALSE,23969751,55459,3395,77229,6739,37101,3517,0.05,0.02,44410,11453,50923,6611,76113,13196,54566,5104,9813,2020,2331,1831,1330,1224,578,499,20824,15717,3214,106,499,0,0,458,830,2250.1,20824,910,1002,1967,1785,1222,1001,1332,1523,1487,942,1986,1694,953,1146,1008,866,35.2,14832,0.05,0.21,0.29,0.27,0.18,4964,0.09,11221,0.03,11391,182700,9813,4964,3836,1370,1128,608,4849,7898883,71105,-2938,-2919
Michigan-Roseville,"Roseville At Home",48066,42.510899,-82.927968,TRUE,TRUE,TRUE,25531380,47605,2395,58961,2359,25405,1010,0.01,0,36991,2630,55762,3797,51067,2357,35321,2591,20176,4788,5826,4127,2579,2182,515,159,47507,34466,9549,193,745,12,202,1193,1147,4819.3,47507,2700,2741,3698,3126,3439,3517,2664,2800,2544,3036,3759,2928,3090,3176,2642,1647,38.4,33338,0.13,0.36,0.39,0.1,0.03,11940,0.12,24880,0.08,21219,86400,20176,11940,6605,2297,5335,2626,8236,7946796,48066,-653,628
Michigan-Troy,"Troy At Home",48083,42.534625,-83.109027,TRUE,TRUE,TRUE,22373314,77538,4010,93310,4063,39092,1748,0.07,0.01,66705,13927,90461,4880,92121,8504,36354,3614,9237,1668,1404,1394,1466,1761,868,676,22561,14812,976,31,5554,0,9,504,675,2611.7,22561,1031,1212,1480,1579,1586,1620,1443,1364,1094,1282,1808,1581,1578,1375,1520,1008,40.7,16370,0.07,0.2,0.24,0.29,0.21,5678,0.06,11604,0.04,9673,223800,9237,5678,4697,2063,981,305,3559,9061676,48083,-4781,-1164
Pennsylvania-Monroeville,"Monroeville At Home",15146,40.430905,-79.791807,TRUE,TRUE,TRUE,51031274,68803,4381,80619,3672,36130,1585,0.05,0.01,26923,10674,77500,8280,93431,5292,43740,3549,12206,1932,2575,2115,1785,2675,573,551,27678,20885,3362,12,1717,0,90,954,658,1404.7,27678,1339,1210,1678,1768,1794,2041,2008,2688,1328,1215,1592,1630,1506,2016,2053,1812,46.2,21155,0.04,0.26,0.29,0.25,0.16,7513,0.05,14808,0.05,13425,150300,12206,7513,5889,1939,1624,663,4693,7886363,15146,-2543,-151
Ohio-Columbus-North,"Columbus North At Home",43240,40.148722,-82.986761,TRUE,TRUE,TRUE,6496462,77736,10520,87604,7823,42056,3267,0.03,0.02,50481,16240,85742,11371,65857,11205,73466,31053,2048,135,390,481,363,397,216,66,4411,2515,350,35,1227,0,0,88,196,1758.6,4411,314,235,425,387,251,382,191,104,176,218,540,510,267,223,122,66,33.2,3127,0.01,0.19,0.23,0.32,0.25,1029,0.02,2818,0.01,2173,203200,2048,1029,807,440,222,133,1019,9169660,43240,-2967,628
Arkansas-Rogers,"Rogers At Home",72758,36.288537,-94.158151,TRUE,TRUE,FALSE,78803879,73405,4903,112787,6921,41261,2672,0.13,0.02,52273,15533,76715,8350,87226,9743,49514,8165,14907,2012,2681,2890,1981,2152,1189,2002,41523,26269,685,145,999,461,36,773,12155,1364.7,41523,3102,3123,3053,3292,3198,2308,1521,1740,3216,2930,2573,3356,3084,2369,1381,1277,34.4,26704,0.15,0.25,0.22,0.25,0.13,10808,0.06,21967,0.02,15793,225900,14907,10808,8751,4526,2057,1128,4099,10891745,72758,4823,4930
Michigan-Wixom,"Wixom At Home",48393,42.500503,-83.539191,TRUE,TRUE,TRUE,34328087,52335,3692,79377,4148,34392,1889,0.06,0.02,28661,10893,48000,5548,84954,17211,32600,9537,7256,1434,1939,1070,771,994,616,432,17054,12309,2476,40,1027,0,6,331,865,1286.7,17054,1094,1225,1448,1188,1344,1239,704,730,930,952,1088,1603,1052,1233,779,445,35.9,11791,0.08,0.22,0.32,0.26,0.12,4256,0.09,10337,0.04,7629,227500,7256,4256,3245,1481,1011,600,3000,10745685,48393,-4781,-1164
Arizona-Gilbert,"Gilbert At Home",85295,33.306661,-111.756926,TRUE,TRUE,TRUE,32738596,97472,4215,112877,4430,36264,1526,0.1,0.01,61989,16701,97037,3655,114209,8548,63980,13340,14789,691,1942,2430,2538,3913,1776,1499,47791,32935,2015,322,2422,190,110,1976,7821,3780.8,47791,3896,4100,3317,3677,4358,2171,1543,1170,3812,4553,3084,3852,3516,2460,1382,900,31.6,28205,0.03,0.16,0.35,0.31,0.15,11118,0.02,25813,0.04,15649,330300,14789,11118,8834,5276,2284,1463,3671,11649482,85295,57477,62997
"New Jersey-Wayne","Wayne At Home",7470,40.886681,-74.254785,TRUE,TRUE,TRUE,61571362,123204,4926,150601,4517,52523,1640,0.25,0.02,31326,29119,135877,10419,155098,9424,67083,7125,18350,1567,1777,1956,2046,3744,2747,4513,53954,40662,1046,0,4206,41,12,627,7360,2269.6,53954,3105,3451,3193,2961,3250,4003,3651,4511,2974,3497,3077,2733,3534,3993,3201,2820,42.9,37407,0.06,0.23,0.19,0.31,0.22,13581,0.03,27966,0.05,18845,468500,18350,13581,11532,4952,2049,930,4769,8420179,7470,-6045,-4208
Ohio-Beavercreek,"Beavercreek At Home",45440,39.698378,-84.105653,TRUE,TRUE,TRUE,24387342,75632,2234,95031,5795,40754,2491,0.08,0.02,25650,8306,75563,8079,101636,5210,60224,5623,8979,1367,1647,1410,1386,1574,887,708,21045,18287,1027,7,763,0,96,505,360,2235,21045,1175,1203,1341,1267,1345,1343,1357,1725,1242,1345,1418,1318,1200,1376,1218,1172,41.1,14924,0.04,0.19,0.31,0.25,0.21,5692,0.08,10941,0.04,9463,175900,8979,5692,4662,1758,1030,660,3287,6207286,45440,-973,-440
"New York-New Hartford","New Hartford At Home",13413,43.08915,-75.314787,TRUE,TRUE,FALSE,51504527,75204,6765,107044,10947,44813,4406,0.1,0.03,55882,48324,78571,19039,88421,7303,49357,4381,6393,684,1180,1314,1004,1025,574,612,15777,14237,228,51,598,11,6,225,421,793.4,15777,630,930,957,529,1301,1231,956,1974,691,1005,950,623,842,1250,704,1204,47.4,11316,0.04,0.21,0.27,0.23,0.25,3982,0.03,7991,0.02,7127,172300,6393,3982,3299,1224,683,337,2411,5074251,13413,-1058,-795
Pennsylvania-Lancaster,"Lancaster At Home",17601,40.07294,-76.322022,TRUE,TRUE,TRUE,86286900,74925,4784,101884,4396,40984,1801,0.1,0.01,39800,12715,83405,5082,97869,6699,54574,5865,20998,2430,4221,3856,3126,3713,1571,2081,52552,42033,1954,34,2252,0,66,1160,5053,1577.4,52552,2749,2911,3238,3281,3201,3639,3512,4358,3211,3197,2672,3504,3049,3193,3318,3519,43.1,37235,0.07,0.26,0.22,0.27,0.18,14598,0.04,28418,0.03,21801,232600,20998,14598,11991,4607,2607,1032,6400,7339389,17601,-852,-205
Florida-Clermont,"Clermont At Home",34711,28.549674,-81.740884,TRUE,TRUE,TRUE,108681206,72159,4261,82546,4291,30377,1626,0.05,0.02,40652,14358,78320,9555,83006,7201,47271,6713,21883,2943,4741,3971,3566,4183,1446,1033,61594,40600,5182,470,2162,64,727,704,11685,1467.9,61594,3190,3807,3270,3626,4691,4211,4315,5043,2891,4019,3544,3000,4243,3896,3832,4016,44.2,44475,0.08,0.26,0.35,0.2,0.11,16541,0.07,29606,0.03,24566,237300,21883,16541,13572,4697,2969,1417,5342,7468679,34711,11162,11377
"Pennsylvania-Whitehall Township","Whitehall Township At Home",18052,40.642174,-75.496067,TRUE,TRUE,FALSE,32831997,63976,5738,74546,3135,30526,1127,0.03,0.01,43167,28475,70984,6709,81930,5954,43008,3462,11140,1575,2774,2019,1853,2038,552,329,27678,18310,1856,5,1333,0,47,767,5360,2183.4,27678,1610,1679,1838,1798,1549,1921,1721,2215,1374,1521,2181,1847,1783,1838,1514,1289,40,19702,0.09,0.36,0.29,0.18,0.08,7571,0.04,15560,0.05,11513,188000,11140,7571,5437,1930,2134,987,3569,7349832,18052,-777,41
Illinois-Geneva,"Geneva At Home",60134,41.886,-88.311,TRUE,TRUE,TRUE,39746914,124103,8178,152537,9897,54744,3340,0.24,0.03,82639,68068,130684,7670,155594,8235,73119,6773,10409,657,1194,1209,1070,2005,1747,2527,29458,26454,138,0,645,0,33,428,1760,1919.5,29458,1678,2377,1288,1974,2203,2268,1624,1673,2222,2180,1090,1478,2599,2154,1574,1076,40.7,19572,0.03,0.15,0.2,0.36,0.27,8129,0.03,15555,0.04,10768,358600,10409,8129,7000,3452,1129,656,2280,5476897,60134,-3026,-3107
Massachusetts-Dedham,"Dedham At Home",2026,42.2437,-71.1637,TRUE,TRUE,TRUE,26537537,100680,5091,131621,7743,52961,3288,0.18,0.02,49875,15584,132448,11245,124418,7109,55156,7396,10026,1153,1346,1148,1326,1853,1381,1819,25265,19917,1727,21,689,8,175,519,2209,2465.8,25265,1404,1367,1533,1732,1603,1987,1694,2205,1322,1166,1610,1843,1356,1747,1289,1407,42.9,18600,0.05,0.21,0.21,0.28,0.25,6481,0.02,14141,0.04,10568,460900,10026,6481,5273,2055,1208,509,3545,6835039,2026,-336,2309
"New York-Greece","Greece At Home",14626,43.209209,-77.711805,TRUE,TRUE,FALSE,35309371,67749,3689,78888,2890,34166,1373,0.04,0.01,40714,12016,79055,5016,88982,9291,44097,2916,12737,2308,2455,2447,2050,2217,703,557,30292,24120,2127,32,1095,0,14,1050,1854,2222,30292,1357,1506,1870,1655,1912,2300,2234,2935,1331,1765,1863,1718,1552,2116,2028,2150,46.7,22764,0.09,0.3,0.3,0.19,0.12,7885,0.05,16473,0.04,13303,143900,12737,7885,5830,1648,2055,932,4852,5686486,14626,-2918,-2158
"Florida-Lake Mary","Lake Mary At Home",32746,28.7538,-81.36917,TRUE,TRUE,TRUE,56915157,87581,4542,116543,6288,45901,2550,0.13,0.02,33773,6120,86102,7033,105893,9013,71883,11890,17365,1777,2854,2797,2484,3444,1785,2224,45244,29492,3310,37,3573,21,468,944,7399,2058.9,45244,2349,2681,2503,3306,3588,3377,3172,2641,2284,2856,2616,2913,2922,2957,2828,2251,41.2,32554,0.03,0.16,0.3,0.32,0.18,12587,0.04,24259,0.04,18823,306600,17365,12587,10147,3417,2440,1448,4778,6780390,32746,1840,2676
"New York-Middletown","Middletown At Home",10941,41.460675,-74.373571,TRUE,TRUE,FALSE,82948367,76676,9680,97281,8645,36312,3144,0.08,0.02,59933,8934,71142,6575,107471,22311,48641,17646,4993,612,871,984,698,924,524,380,13786,6243,3347,2,704,0,54,325,3111,430.5,13786,708,975,936,672,1064,1075,642,622,683,926,1459,824,850,1051,862,437,38.2,9211,0.09,0.26,0.41,0.15,0.1,3442,0.06,7207,0.05,5446,257700,4993,3442,2691,1051,751,389,1551,6802129,10941,530,675
Indiana-Lafayette,"Lafayette At Home",47905,40.40016,-86.853867,TRUE,TRUE,FALSE,309304759,58975,2319,74967,3959,31152,1751,0.04,0.01,31994,8678,58077,4329,72720,5207,49401,4068,17010,3250,4069,3505,2206,2596,761,623,41631,33010,2428,46,618,0,49,1001,4479,348.6,41631,2737,2933,2883,3051,2316,2761,2400,2572,3113,2286,3147,2789,2072,2356,2183,2032,35.7,27516,0.1,0.28,0.3,0.2,0.12,10272,0.09,21693,0.05,17849,155300,17010,10272,7675,2641,2597,1663,6738,5285076,47905,-1159,911
Ohio-Niles,"Niles At Home",44446,41.1824,-80.7558,TRUE,TRUE,TRUE,35117853,43052,3992,56358,3745,25554,1519,0.02,0.01,27583,14413,52079,5873,50068,9351,38825,4792,9074,2298,2640,2078,875,855,178,150,20151,18279,1090,0,136,0,0,275,371,1486.2,20151,971,1228,1372,947,1027,1691,1503,1874,977,981,1369,942,1317,1606,1286,1060,45,14456,0.12,0.46,0.27,0.12,0.04,5031,0.12,10090,0.06,10058,85900,9074,5031,3314,914,1717,910,4043,5515970,44446,-98,-115
"Iowa-Council Bluffs","Council Bluffs At Home",51501,41.228526,-95.87854,TRUE,TRUE,TRUE,62523420,48946,2356,58828,2821,23804,1183,0.01,0.01,42083,7147,56912,4352,51393,4452,34735,3141,13914,2948,4149,3259,1771,1312,298,177,35426,28067,864,248,446,10,0,792,4999,1467.5,35426,2318,1924,2704,2463,1995,2640,1985,1838,2481,2441,2577,2643,2167,2081,1772,1397,36.8,23682,0.17,0.38,0.34,0.08,0.03,8549,0.11,18248,0.04,15114,101300,13914,8549,5635,2010,2914,1650,5365,4605652,51501,-216,-224
Connecticut-Manchester,"Manchester At Home",6042,41.798209,-72.556885,TRUE,TRUE,TRUE,27028312,80516,3606,90427,4470,38605,2202,0.05,0.02,46125,18409,87464,8015,82943,5305,53148,5006,9632,1096,1475,1715,2256,1929,639,522,23144,12454,2851,136,3887,0,395,756,2665,2217.8,23144,1793,1006,1895,2201,1400,1376,1344,1382,1623,614,1763,2433,1231,1067,1247,769,34.6,17043,0.06,0.23,0.26,0.25,0.2,6005,0.05,13005,0.04,10239,174000,9632,6005,4521,1923,1484,649,3627,9176975,6042,-562,-299
Indiana-Evansville,"Evansville At Home",47715,37.977241,-87.494677,TRUE,TRUE,FALSE,60133066,48866,3581,71150,5609,35664,2655,0.04,0.01,26187,6607,54332,6016,66494,9794,33345,2715,13053,3239,3424,2472,1412,1400,643,463,26196,21531,3131,56,240,0,70,464,704,1128.3,26196,1400,1264,2326,1631,1270,1999,1738,2277,1442,1117,2400,1788,1325,1229,1634,1356,39.2,18901,0.05,0.26,0.34,0.23,0.12,6498,0.09,14864,0.04,14147,144400,13053,6498,4751,1535,1747,973,6555,5498799,47715,-47,170
Maryland-Frederick,"Frederick  At Home",21701,39.446045,-77.389114,TRUE,TRUE,TRUE,100842814,83565,3277,102164,3416,43286,1394,0.09,0.01,31141,9831,87962,4601,98006,9158,61003,5564,15432,1733,2500,2553,2300,3064,1845,1437,37017,27867,4325,12,779,0,0,902,3132,950.7,37017,1988,2199,2965,2628,2383,2733,2197,2387,1682,2168,2572,2805,2143,2472,2016,1679,38.7,26401,0.06,0.23,0.25,0.25,0.21,9372,0.04,21644,0.04,16734,301600,15432,9372,7004,2716,2368,1110,6060,7760119,21701,3280,3605
Georgia-Augusta,"Augusta At Home",30909,33.469062,-82.089422,TRUE,TRUE,TRUE,67393479,52247,3240,72782,3931,31326,1915,0.05,0.01,18902,5061,53660,4500,59710,15448,50644,6174,16787,3606,4357,3163,2309,2048,518,786,41261,17329,19369,68,1242,12,153,1024,2064,1585.7,41261,2500,2678,4419,3105,2331,2344,2704,2445,2796,1707,4033,2864,1790,1873,1981,1691,33.3,28178,0.1,0.23,0.32,0.2,0.15,9234,0.09,20913,0.06,22352,159400,16787,9234,6103,2018,3131,1580,7553,6213076,30909,-76,6
Maryland-Gaithersburg,"Gaithersburg At Home",20878,39.1125,-77.2515,TRUE,TRUE,TRUE,56748974,132917,4938,165079,5797,59980,2258,0.3,0.02,60175,19654,119852,12662,153438,11909,106108,11894,22404,1601,1790,2478,2360,4340,3023,6812,63030,30176,6338,213,16150,0,132,2217,7804,2876.7,63030,4118,3907,3484,4085,4994,5098,3967,2358,4041,4253,3373,4208,4238,4806,3784,2316,40.1,43117,0.06,0.09,0.15,0.32,0.39,17143,0.04,36130,0.04,23312,568900,22404,17143,14021,6433,3122,1671,5261,6680294,20878,-9423,-3724
Georgia-Pooler,"Pooler At Home",31322,32.1149,-81.252,TRUE,TRUE,FALSE,75413701,82477,12849,94805,6700,35992,2703,0.07,0.03,45507,32319,76891,4899,108313,11858,53611,14029,9655,1055,1521,1574,1702,2268,881,654,26126,14878,7360,128,666,174,262,789,1869,897.3,26126,1511,1806,2591,1789,2116,2178,1163,708,1533,1893,1470,2136,1607,2184,873,568,35.9,17381,0.07,0.2,0.35,0.27,0.11,6789,0.05,15619,0.06,10020,199500,9655,6789,5406,1883,1383,1017,2866,9840070,31322,-994,-690
"Arizona-Tempe South","Tempe At Home",85284,33.3372,-111.9343,TRUE,TRUE,TRUE,20120879,122583,11051,151959,9494,57032,3398,0.23,0.03,69375,27273,113261,14222,156357,11052,93594,15059,7306,488,573,756,941,1641,1245,1662,19909,14209,507,381,1633,46,86,450,2597,2562.7,19909,905,1354,1239,1116,1382,1785,1401,921,1078,1088,1030,1621,1270,1396,1559,764,41.5,14491,0.03,0.07,0.24,0.36,0.3,5440,0.03,11654,0.04,7697,434400,7306,5440,4713,1776,727,303,1866,6168633,85284,57477,62997
Florida-Lutz,"Lutz At Home",33559,28.1801,-82.4169,TRUE,TRUE,TRUE,32743478,68895,7951,83155,6074,32460,2855,0.06,0.02,31597,16212,72996,11968,78918,7584,52039,13722,6743,1116,1361,1330,1116,843,557,420,18473,11349,2311,0,725,0,27,374,3687,1461.2,18473,944,895,1961,1285,1292,1457,796,802,1119,1096,1927,1337,1067,1232,577,686,34.9,12476,0.07,0.23,0.31,0.24,0.15,3998,0.03,10957,0.05,7304,206200,6743,3998,2980,1188,1018,419,2745,11123251,33559,9183,14449
"New Jersey-Brick","Brick At Home",8724,40.0874,-74.1152,TRUE,TRUE,TRUE,35334005,79656,3620,105625,5207,42828,1902,0.1,0.02,47023,12954,93609,11806,95853,7687,50651,3783,16510,1888,3365,2569,2184,3381,1473,1650,41293,35296,1005,10,629,0,20,635,3698,3026.8,41293,2200,1935,2443,2116,2593,3351,3136,3225,1843,2648,2980,2418,2332,3001,2735,2337,44.6,30249,0.07,0.3,0.3,0.23,0.11,10961,0.03,22759,0.05,17941,289700,16510,10961,8448,2833,2513,837,5549,7723800,8724,-1619,-1428
Pennsylvania-Harrisburg,"Harrisburg  At Home",17112,40.3352,-76.7914,TRUE,TRUE,FALSE,178698604,84083,5967,103740,6221,41851,2341,0.09,0.02,37206,23185,101938,9055,96280,9375,62004,5953,14259,1288,2275,2591,2151,3438,1250,1266,35818,29477,2877,5,1191,0,0,1023,1245,519.1,35818,1905,2073,1551,2255,2303,2526,3100,2153,1941,2388,2000,2110,2699,2377,2697,1740,43.5,26081,0.04,0.31,0.26,0.25,0.15,10103,0.01,19265,0.03,15169,220900,14259,10103,8476,3198,1627,725,4156,6841506,17112,-52,673
Illinois-Elmhurst,"Elmhurst At Home",60126,41.892644,-87.962228,TRUE,TRUE,TRUE,28768432,117258,4567,160941,5771,56850,2152,0.25,0.02,-1,-1,147809,11985,143958,9678,59871,4208,17053,1186,2107,2103,1936,3186,2327,4208,49027,40437,559,26,2931,11,23,938,4102,4413.8,49027,3517,3585,2447,2735,3548,3629,2609,3101,3306,3840,2483,2660,3403,3445,2624,2095,39.9,31674,0.04,0.15,0.22,0.33,0.26,12624,0.03,25355,0.04,18026,424600,17053,12624,10879,5545,1745,804,4429,7895323,60126,-10009,-7959
Maryland-Crofton,"Crofton At Home",21114,39.0112,-76.6802,TRUE,TRUE,TRUE,14410547,122728,3942,141654,5816,51510,2395,0.19,0.03,-1,-1,125354,5092,137390,15322,92794,13544,9812,246,659,1199,1424,2940,1513,1831,27303,17909,4776,10,1502,0,51,1387,1668,4907.1,27303,1708,1883,1392,2519,2015,1703,1417,1083,2202,2045,1536,2186,1957,1439,1379,839,35.8,18244,0.03,0.15,0.24,0.32,0.25,7500,0.02,15413,0.03,10091,378600,9812,7500,5704,2723,1796,1192,2312,9553389,21114,1162,1598
Colorado-Longmont,"Longmont  At Home",80503,40.1559,-105.1624,TRUE,TRUE,TRUE,235861729,97356,5117,133160,9503,52219,3688,0.18,0.02,39107,28013,96494,8878,129630,8717,70663,9940,13681,1342,2141,1751,1754,2678,1553,2462,35453,28926,288,94,1489,0,16,704,3936,389.3,35453,1754,2528,2091,1813,2473,2935,2431,2062,2000,2608,1821,2125,2299,2666,2202,1645,42.1,24533,0.04,0.13,0.23,0.36,0.25,9524,0.04,19098,0.04,14459,485400,13681,9524,7933,3107,1591,964,4157,5789917,80503,-42,896
"California-Foothill Ranch","Foothill Ranch At Home",92610,33.6748,-117.6649,TRUE,TRUE,FALSE,25461734,129270,4633,158738,10518,55169,4235,0.24,0.04,-1,-1,129856,8077,140313,9065,72628,18537,5603,165,459,588,614,1542,866,1369,16360,8409,520,0,4815,0,12,911,1693,1664.2,16360,1306,1092,906,1665,1298,1313,576,396,1158,1108,888,1274,1356,1178,546,300,36.3,10972,0.03,0.08,0.27,0.36,0.27,4418,0.01,9604,0.04,5882,739700,5603,4418,3602,2017,816,413,1185,5955948,92610,-21358,-15180
Georgia-Newnan,"Newnan At Home",30265,33.3958,-84.7121,TRUE,TRUE,TRUE,110252628,88878,6554,105309,4593,38817,1833,0.1,0.02,33681,7794,91822,9102,104637,9581,64344,8931,12810,1247,1821,1958,2143,2870,1495,1276,35096,25229,5310,123,1515,0,11,466,2442,824.5,35096,2214,2678,2078,2235,2939,2528,1892,1835,2301,2557,1729,1964,2670,2518,1670,1288,39.6,23585,0.06,0.26,0.29,0.27,0.12,9634,0.05,18728,0.03,13356,222900,12810,9634,7520,3048,2114,1147,3176,7989594,30265,1811,1921
California-Riverside,"Riverside At Home",92507,33.971,-117.3249,TRUE,TRUE,FALSE,52351719,51288,3225,66172,3146,21114,1536,0.04,0.01,17179,3003,53438,2508,61064,7962,52724,9692,17046,4288,4066,3364,2169,1881,672,606,59152,14935,4236,455,7303,205,193,1735,30090,2926.4,59152,3244,5044,9134,3566,2683,2525,1854,1583,3459,5515,7956,4466,2129,2710,1934,1350,26.4,31744,0.19,0.23,0.29,0.16,0.13,9649,0.16,29087,0.1,18679,331500,17046,9649,5832,2477,3817,1759,7397,8201805,92507,13170,13473
"California-San Diego","San Diego  At Home",92128,32.9993,-117.0718,TRUE,TRUE,FALSE,28967730,103238,4234,123553,4883,51182,2164,0.16,0.02,64852,18979,119407,5525,120672,8910,64487,6095,20810,1694,2290,2972,3079,4987,2455,3333,51357,29756,1187,40,11872,204,261,2134,5903,4591.8,51357,2761,2585,2743,3402,3166,4042,3843,4451,2972,2541,2630,3279,3310,3574,2979,3079,44,38473,0.03,0.11,0.25,0.35,0.27,14018,0.03,26690,0.05,21567,623100,20810,14018,11564,4768,2454,854,6792,7800504,92128,-19731,-12998
"Illinois-Lake in the Hills","Lake in the Hills At Home",60156,42.1947,-88.3665,TRUE,TRUE,TRUE,29255589,92932,3129,107456,4152,36782,1634,0.1,0.02,71076,23792,91145,5980,112781,9946,49286,9621,9691,641,1246,1752,1656,2292,1125,979,28809,22293,641,24,1857,0,0,515,3479,2550.5,28809,1820,2572,2033,2055,2323,1994,1360,642,2067,2241,1952,1938,2167,1877,1205,563,34.8,17842,0.05,0.23,0.34,0.29,0.09,7520,0.04,16992,0.03,9894,227100,9691,7520,6007,3111,1513,886,2171,4525192,60156,-1381,-1374
Ohio-Mentor,"Mentor At Home",44060,41.678,-81.3285,TRUE,TRUE,TRUE,102787049,72521,3364,86817,2450,36815,1087,0.05,0.01,49500,14782,90443,3231,85246,5184,46182,2802,25225,2916,5619,4369,4081,4750,2137,1353,60134,56458,500,21,939,0,153,687,1376,1515.2,60134,2549,3199,3186,3072,3560,4874,5172,5246,3179,3680,3006,3259,3588,4547,4449,3568,46.9,44419,0.07,0.29,0.32,0.2,0.12,16488,0.03,32163,0.03,26532,170600,25225,16488,13391,4442,3097,1295,8737,7448885,44060,281,350
