ID,name,postalCode,latitude,longitude,"Buy Online Pick Up In Store","Buy Online Pick Up Curbside","Local Store Delivery",aland,median_household_income,median_household_income_moe,average_household_income,average_household_income_moe,per_capita_income,per_capita_income_moe,percent_of_households_with_incomes_200000_or_more,percent_of_households_with_incomes_200000_or_more_[0],householder_under_25_years,householder_under_25_years_moe,householder_25_to_44_years,householder_25_to_44_years_moe,householder_45_to_64_years,householder_45_to_64_years_moe,householder_65_years_and_over,householder_65_years_and_over_moe,hhi_total,hhi_lt_25k,hhi_25k_to_49k,hhi_50k_to_749k,hhi_75k_to_999k,hhi_100k_to_1490k,hhi_150k_to_1999k,hhi_200k_or_more,race_and_ethnicity_total,race_and_ethnicity_white,race_and_ethnicity_black,race_and_ethnicity_native,race_and_ethnicity_asian,race_and_ethnicity_islander,race_and_ethnicity_other,race_and_ethnicity_two,race_and_ethnicity_hispanic,population_density_sq_mi,age_total,age_female_0_to_9,age_female_10_to_19,age_female_20_to_29,age_female_30_to_39,age_female_40_to_49,age_female_50_to_59,age_female_60_to_69,age_female_70_plus,age_male_0_to_9,age_male_10_to_19,age_male_20_to_29,age_male_30_to_39,age_male_40_to_49,age_male_50_to_59,age_male_60_to_69,age_male_70_plus,median_age,educational_attainment_population_25_years_and_over,educational_attainment_no_diploma,educational_attainment_high_school,educational_attainment_some_college,educational_attainment_bachelors,educational_attainment_graduate,family_households_total,family_poverty_pct,employment_status_civilian_labor_force,unemployment_pct,housing_units,median_value_of_owner_occupied_units,households,hh_families,hh_mc_families,hh_mc_with_own_children_under_18,hh_sp_families,hh_sp_with_own_children_under_18,hh_non_families,SIMULATED_SALES,postalCode,DOMESTICMIG2019,NETMIG2019
Kentucky-Florence,"Florence At Home",41042,39.018717,-84.626677,TRUE,TRUE,TRUE,74393754,61118,3447,79044,3154,32392,1153,0.05,0.01,37017,6418,63151,4335,82168,11786,42790,4478,20678,3426,5050,3806,2664,3402,1358,972,52185,43925,2279,27,1645,0,325,1136,2848,1816.8,52185,3085,3643,3175,3149,3676,3808,3103,3165,3233,3416,3588,3441,3462,3067,3004,2170,38.7,35561,0.09,0.3,0.35,0.17,0.1,13347,0.07,28362,0.05,21968,156700,20678,13347,9358,3549,3989,2350,7331,7499219,41042,943,943
Florida-Orlando,"Orlando At Home",32817,28.56728,-81.220875,TRUE,TRUE,TRUE,29091775,62421,4355,79005,3789,27505,1332,0.05,0.01,25285,4615,64160,5026,88008,7310,53894,9466,11593,2232,2453,2146,1814,1712,658,578,35737,17685,2762,0,3138,0,236,885,11031,3181.6,35737,1615,2360,4067,2077,2043,2038,1801,1438,1489,2529,5763,1913,2103,1940,1296,1265,30.1,21496,0.08,0.22,0.34,0.23,0.12,7330,0.08,19515,0.05,13223,220400,11593,7330,5599,2012,1731,809,4263,8731995,32817,-3333,3925
Indiana-Noblesville,"Noblesville At Home",46060,40.042105,-85.996857,TRUE,TRUE,TRUE,206896156,78300,4762,93535,5055,33665,1672,0.07,0.02,47340,13385,86066,3722,83125,15686,61637,11763,14688,1575,2887,2445,2576,3091,1125,989,41461,35221,2337,24,656,16,24,1329,1854,519,41461,3116,3603,2894,3253,2949,2192,2032,1413,3009,3121,3065,3230,3082,1931,1486,1085,33.3,25570,0.07,0.24,0.26,0.29,0.14,10596,0.05,23107,0.04,16042,199300,14688,10596,8410,4522,2186,1450,4092,9035318,46060,4962,5754
Indiana-Greenwood,"Greenwood At Home",46227,39.653643,-86.137769,TRUE,TRUE,TRUE,43396390,42816,1928,56060,3198,24404,1341,0.02,0.01,28787,5031,43396,3819,54171,5033,35034,4972,22198,6052,6845,4363,2415,1592,532,399,54876,37464,3761,41,8313,9,170,1682,3436,3275.1,54876,3651,3189,5008,4088,2868,3259,2843,3652,3894,2969,4713,4247,2868,3249,2223,2155,34.7,36247,0.17,0.36,0.26,0.15,0.07,11309,0.13,27523,0.04,24880,131600,22198,11309,7323,2838,3986,2114,10889,6177245,46227,-4866,-107
Arizona-Mesa,"Mesa At Home",85206,33.380175,-111.740978,TRUE,TRUE,TRUE,24706996,51993,2275,70893,5629,30960,2316,0.03,0.01,38806,7309,62729,2550,64136,8815,42585,2761,15645,3316,4104,3413,1818,1861,717,416,37230,26735,2049,413,426,19,0,477,7111,3902.8,37230,1839,1795,2461,1992,1548,2061,2781,5028,2318,1908,2954,1946,1410,1802,1774,3613,45,27105,0.08,0.28,0.39,0.18,0.08,9107,0.08,16161,0.05,18968,200500,15645,9107,6781,1909,2326,1182,6538,8206899,85206,57477,62997
"North Carolina-Raleigh","Raleigh At Home",27604,35.848172,-78.585344,TRUE,TRUE,TRUE,55946787,63850,2911,76193,2755,31000,1348,0.04,0.01,53382,16012,65462,5186,69393,2972,47844,7016,18822,2866,4455,3601,3360,2939,805,796,48494,19838,15796,45,2033,48,12,1024,9698,2245,48494,2427,2725,4122,3772,3597,3077,2329,2054,3425,3243,3831,3888,3869,2923,1667,1545,36.3,33415,0.14,0.2,0.29,0.25,0.13,11429,0.1,28563,0.04,20447,177600,18822,11429,7421,3039,4008,2155,7393,12512010,27604,10857,14022
Ohio-Columbus,"Columbus At Home",43213,39.95617,-82.835137,TRUE,TRUE,TRUE,23360410,43706,2172,57021,4462,24893,1951,0.02,0.01,27379,7575,40725,5989,50743,4979,42220,3004,13827,3718,3962,3208,1402,1017,310,210,33130,11707,15023,18,636,5,91,1400,4250,3673.2,33130,2238,1910,2976,2525,2035,1795,1692,1944,2651,2053,2324,2782,1513,1862,1786,1044,34.2,22216,0.12,0.36,0.31,0.15,0.07,7765,0.16,17583,0.08,15024,120600,13827,7765,3771,1289,3994,2359,6062,7592286,43213,-2967,628
Mississippi-Hattiesburg,"Hattiesburg At Home",39402,31.326189,-89.377302,TRUE,TRUE,TRUE,227648673,61082,4109,86072,5867,34047,2420,0.06,0.01,25863,8785,60744,3722,80481,6257,55116,10428,15577,3301,3226,2521,1957,2644,998,930,40860,27613,10159,16,776,0,0,910,1386,464.9,40860,2081,2731,3745,3661,2080,2702,2328,2416,2687,2289,3292,2734,2145,2077,2226,1666,36.2,27384,0.08,0.16,0.3,0.27,0.19,10088,0.1,20663,0.09,17130,192000,15577,10088,7348,2878,2740,1408,5489,5707127,39402,-404,-250
Mississippi-Gulfport,"Gulf Port At Home",39503,30.426437,-89.089031,TRUE,TRUE,FALSE,312581343,53746,2396,68375,4107,25330,1476,0.03,0.01,45461,20228,48707,5309,68309,10283,47184,8281,19737,4516,4529,3858,2656,2838,807,533,55692,34547,15843,320,672,10,37,1499,2764,461.5,55692,4102,4337,3953,4756,3722,3119,2542,2366,4698,3477,4079,4020,3058,3276,2405,1782,33.7,35075,0.09,0.29,0.38,0.16,0.07,14391,0.15,26528,0.08,22355,144200,19737,14391,9690,4269,4701,2457,5346,5864318,39503,1088,1208
Colorado-Broomfield,"Broomfield At Home",80020,39.920675,-105.088948,TRUE,TRUE,TRUE,51303717,94439,3877,117712,6407,46464,2672,0.11,0.01,43621,11195,96053,6583,114368,3890,56658,5289,19767,1712,2656,3236,2882,4580,2472,2229,50491,38479,461,156,3016,11,241,1228,6899,2549,50491,2807,2921,3096,3767,3687,3561,2485,2325,3234,3565,3256,4219,3827,3723,2390,1628,38.1,35185,0.04,0.17,0.29,0.32,0.18,13524,0.03,30402,0.03,20150,366700,19767,13524,11114,4951,2410,1195,6243,9511552,80020,791,896
